Ultimo;Abertura;Maxima;Minima;Var%
238,26;237,74;238,26;237,74;1,47%
234,8;236,58;236,58;234,8;0,16%
234,42;233,11;234,42;233,11;1,19%
231,67;233,32;233,32;231,67;0,10%
231,43;233,15;233,15;231,43;-0,02%
231,48;234,74;234,74;231,48;-0,91%
233,6;235,82;235,82;233,6;-0,68%
235,19;229,22;235,19;229,22;3,12%
228,07;229,26;229,26;228,07;0,33%
227,33;229,24;229,24;227,33;-0,17%
227,71;232,21;232,21;227,71;-0,74%
229,4;241,72;241,72;229,4;-0,56%
230,7;241,72;241,72;230,7;-4,03%
240,39;246,5;246,5;240,39;-2,79%
247,29;245,62;247,29;245,62;1,27%
244,2;233,51;244,2;233,51;-1,07%
246,84;246,43;246,84;246,43;0,49%
245,64;246,43;246,43;245,64;-0,60%
247,12;240,93;247,12;240,93;2,25%
241,69;238,26;241,69;238,26;1,23%
238,76;231,6;238,76;231,6;2,49%
232,95;233,51;233,51;232,95;-1,28%
235,96;233,34;235,96;233,34;0,07%
235,79;233,34;235,79;233,34;-0,01%
235,81;225,97;235,81;225,97;3,58%
227,67;227,07;227,67;227,07;1,67%
223,92;227,87;227,87;223,92;-1,73%
227,86;227,07;227,86;227,07;0,16%
227,49;221,37;227,49;221,37;2,22%
222,54;218,48;222,54;218,48;1,41%
219,45;214,66;219,45;214,66;2,40%
214,31;211,6;214,31;211,6;0,00%
214,3;208,5;214,3;208,5;2,95%
208,161;208,161;208,161;208,161;-0,37%
208,94;207,59;208,94;207,59;0,00%
208,94;207,7;208,94;207,7;-0,09%
209,12;207,7;209,12;207,7;-0,31%
209,77;209,59;209,77;209,59;-0,92%
211,72;210,5;211,72;210,5;0,03%
211,66;210,5;211,66;210,5;0,00%
211,66;212,55;212,55;211,66;-1,18%
214,18;215,27;215,27;214,18;-0,96%
216,26;217,25;217,25;216,26;-0,67%
217,72;215,37;217,72;215,37;0,70%
216,2;213,45;216,2;213,45;1,05%
213,96;215,34;215,34;213,96;-0,83%
215,75;215,37;215,75;215,37;-0,19%
216,15;219,98;219,98;216,15;-0,73%
217,74;219,98;219,98;217,74;-1,46%
